       act_type: 'reclin'
         l_rate: 0.8000
          beta1: 0.7000
     numint_its: 100
         epochs: 1500
         d_rate: 0
       int_step: 0.2000
       lr_decay: 1
        buf_win: 501
     ADAPTIT_ri: 4
     ADAPTIT_rs: 2
      ADAPTIT_w: 500
    layer_sizes: [400 30 10 10]
       n_layers: 4
            var: [1 1 1 1]
      timestamp: '0308_141541'
          log_f: 3

Epoch 107 | Cost: NaN | Training Set Accuracy: 10.000000
Epoch 108 | Cost: NaN | Training Set Accuracy: 10.000000
Epoch 109 | Cost: NaN | Training Set Accuracy: 10.000000
Epoch 110 | Cost: NaN | Training Set Accuracy: 10.000000
Epoch 111 | Cost: NaN | Training Set Accuracy: 10.000000
Epoch 112 | Cost: NaN | Training Set Accuracy: 10.000000
Epoch 113 | Cost: NaN | Training Set Accuracy: 10.000000
Epoch 114 | Cost: NaN | Training Set Accuracy: 10.000000
Epoch 115 | Cost: NaN | Training Set Accuracy: 10.000000
Epoch 116 | Cost: NaN | Training Set Accuracy: 10.000000
Epoch 117 | Cost: NaN | Training Set Accuracy: 10.000000
Epoch 118 | Cost: NaN | Training Set Accuracy: 10.000000
Epoch 119 | Cost: NaN | Training Set Accuracy: 10.000000
Epoch 120 | Cost: NaN | Training Set Accuracy: 10.000000
Epoch 121 | Cost: NaN | Training Set Accuracy: 10.000000
Epoch 122 | Cost: NaN | Training Set Accuracy: 10.000000
Epoch 123 | Cost: NaN | Training Set Accuracy: 10.000000
Epoch 124 | Cost: NaN | Training Set Accuracy: 10.000000
Epoch 125 | Cost: NaN | Training Set Accuracy: 10.000000
Epoch 126 | Cost: NaN | Training Set Accuracy: 10.000000
Epoch 127 | Cost: NaN | Training Set Accuracy: 10.000000
Epoch 128 | Cost: NaN | Training Set Accuracy: 10.000000
Epoch 129 | Cost: NaN | Training Set Accuracy: 10.000000
Epoch 130 | Cost: NaN | Training Set Accuracy: 10.000000
Epoch 131 | Cost: NaN | Training Set Accuracy: 10.000000
Epoch 132 | Cost: NaN | Training Set Accuracy: 10.000000
Epoch 133 | Cost: NaN | Training Set Accuracy: 10.000000
Epoch 134 | Cost: NaN | Training Set Accuracy: 10.000000
Epoch 135 | Cost: NaN | Training Set Accuracy: 10.000000
Epoch 136 | Cost: NaN | Training Set Accuracy: 10.000000
Epoch 137 | Cost: NaN | Training Set Accuracy: 10.000000
Epoch 138 | Cost: NaN | Training Set Accuracy: 10.000000
Epoch 139 | Cost: NaN | Training Set Accuracy: 10.000000
Epoch 140 | Cost: NaN | Training Set Accuracy: 10.000000
