Epoch 256 | Cost: 5.862058e-01
Epoch 257 | Cost: 5.846482e-01
Epoch 258 | Cost: 5.831009e-01
Epoch 259 | Cost: 5.815640e-01
Epoch 260 | Cost: 5.800373e-01
Epoch 261 | Cost: 5.785208e-01
Epoch 262 | Cost: 5.770144e-01
Epoch 263 | Cost: 5.755180e-01
Epoch 264 | Cost: 5.740317e-01
Epoch 265 | Cost: 5.725553e-01
Epoch 266 | Cost: 5.710888e-01
Epoch 267 | Cost: 5.696320e-01
Epoch 268 | Cost: 5.681850e-01
Epoch 269 | Cost: 5.667476e-01
Epoch 270 | Cost: 5.653198e-01
Epoch 271 | Cost: 5.639015e-01
Epoch 272 | Cost: 5.624927e-01
Epoch 273 | Cost: 5.610932e-01
Epoch 274 | Cost: 5.597030e-01
Epoch 275 | Cost: 5.583220e-01
Epoch 276 | Cost: 5.569502e-01
Epoch 277 | Cost: 5.555875e-01
Epoch 278 | Cost: 5.542337e-01
Epoch 279 | Cost: 5.528889e-01
Epoch 280 | Cost: 5.515530e-01
Epoch 281 | Cost: 5.502258e-01
Epoch 282 | Cost: 5.489074e-01
Epoch 283 | Cost: 5.475976e-01
Epoch 284 | Cost: 5.462963e-01
Epoch 285 | Cost: 5.450036e-01
Epoch 286 | Cost: 5.437193e-01
Epoch 287 | Cost: 5.424434e-01
Epoch 288 | Cost: 5.411757e-01
Epoch 289 | Cost: 5.399162e-01
Epoch 290 | Cost: 5.386649e-01
Epoch 291 | Cost: 5.374217e-01
Epoch 292 | Cost: 5.361864e-01
Epoch 293 | Cost: 5.349591e-01
Epoch 294 | Cost: 5.337397e-01
Epoch 295 | Cost: 5.325280e-01
Epoch 296 | Cost: 5.313241e-01
Epoch 297 | Cost: 5.301278e-01
Epoch 298 | Cost: 5.289391e-01
Epoch 299 | Cost: 5.277580e-01
Epoch 300 | Cost: 5.265843e-01
Epoch 301 | Cost: 5.254180e-01
Epoch 302 | Cost: 5.242590e-01
Epoch 303 | Cost: 5.231073e-01
Epoch 304 | Cost: 5.219628e-01
Epoch 305 | Cost: 5.208254e-01
Epoch 306 | Cost: 5.196950e-01
Epoch 307 | Cost: 5.185717e-01
Epoch 308 | Cost: 5.174553e-01
Epoch 309 | Cost: 5.163458e-01
Epoch 310 | Cost: 5.152432e-01
Epoch 311 | Cost: 5.141472e-01
Epoch 312 | Cost: 5.130580e-01
Epoch 313 | Cost: 5.119754e-01
Epoch 314 | Cost: 5.108994e-01
Epoch 315 | Cost: 5.098299e-01
Epoch 316 | Cost: 5.087669e-01
Epoch 317 | Cost: 5.077103e-01
Epoch 318 | Cost: 5.066600e-01
Epoch 319 | Cost: 5.056160e-01
Epoch 320 | Cost: 5.045783e-01
Epoch 321 | Cost: 5.035467e-01
Epoch 322 | Cost: 5.025212e-01
Epoch 323 | Cost: 5.015018e-01
Epoch 324 | Cost: 5.004885e-01
Epoch 325 | Cost: 4.994811e-01
Epoch 326 | Cost: 4.984796e-01
Epoch 327 | Cost: 4.974839e-01
Epoch 328 | Cost: 4.964941e-01
Epoch 329 | Cost: 4.955100e-01
Epoch 330 | Cost: 4.945316e-01
Epoch 331 | Cost: 4.935589e-01
Epoch 332 | Cost: 4.925917e-01
Epoch 333 | Cost: 4.916301e-01
Epoch 334 | Cost: 4.906741e-01
Epoch 335 | Cost: 4.897234e-01
Epoch 336 | Cost: 4.887782e-01
Epoch 337 | Cost: 4.878384e-01
Epoch 338 | Cost: 4.869038e-01
Epoch 339 | Cost: 4.859745e-01
Epoch 340 | Cost: 4.850505e-01
Epoch 341 | Cost: 4.841316e-01
Epoch 342 | Cost: 4.832178e-01
Epoch 343 | Cost: 4.823092e-01
Epoch 344 | Cost: 4.814056e-01
Epoch 345 | Cost: 4.805069e-01
Epoch 346 | Cost: 4.796133e-01
Epoch 347 | Cost: 4.787245e-01
Epoch 348 | Cost: 4.778406e-01
Epoch 349 | Cost: 4.769616e-01
Epoch 350 | Cost: 4.760873e-01
Epoch 351 | Cost: 4.752178e-01
Epoch 352 | Cost: 4.743530e-01
Epoch 353 | Cost: 4.734929e-01
Epoch 354 | Cost: 4.726374e-01
Epoch 355 | Cost: 4.717865e-01
Epoch 356 | Cost: 4.709401e-01
Epoch 357 | Cost: 4.700983e-01
Epoch 358 | Cost: 4.692609e-01
Epoch 359 | Cost: 4.684279e-01
Epoch 360 | Cost: 4.675994e-01
Epoch 361 | Cost: 4.667753e-01
Epoch 362 | Cost: 4.659554e-01
Epoch 363 | Cost: 4.651399e-01
Epoch 364 | Cost: 4.643286e-01
Epoch 365 | Cost: 4.635216e-01
Epoch 366 | Cost: 4.627187e-01
Epoch 367 | Cost: 4.619200e-01
Epoch 368 | Cost: 4.611254e-01
Epoch 369 | Cost: 4.603349e-01
Epoch 370 | Cost: 4.595485e-01
Epoch 371 | Cost: 4.587661e-01
Epoch 372 | Cost: 4.579877e-01
Epoch 373 | Cost: 4.572132e-01
Epoch 374 | Cost: 4.564427e-01
Epoch 375 | Cost: 4.556761e-01
Epoch 376 | Cost: 4.549133e-01
Epoch 377 | Cost: 4.541544e-01
Epoch 378 | Cost: 4.533993e-01
Epoch 379 | Cost: 4.526480e-01
Epoch 380 | Cost: 4.519004e-01
Epoch 381 | Cost: 4.511565e-01
Epoch 382 | Cost: 4.504164e-01
Epoch 383 | Cost: 4.496799e-01
Epoch 384 | Cost: 4.489470e-01
Epoch 385 | Cost: 4.482178e-01
