       act_type: 'tanh'
         l_rate: 0.9000
          beta1: 0.7500
     numint_its: 75
         epochs: 1000
         d_rate: 0
       int_step: 0.2000
       lr_decay: 1
        buf_win: 10
     ADAPTIT_ri: 2
     ADAPTIT_rs: 1
      ADAPTIT_w: 1250
    layer_sizes: [400 50 10 10]
       n_layers: 4
            var: [1 1 1 1]
      timestamp: '0405_164018'
          log_f: 3

Epoch 185 | Cost: 3.801320e-01 | Training Set Accuracy: 88.966667
Epoch 186 | Cost: 3.799084e-01 | Training Set Accuracy: 88.968333
Epoch 187 | Cost: 3.796910e-01 | Training Set Accuracy: 88.970000
Epoch 188 | Cost: 3.794798e-01 | Training Set Accuracy: 88.981667
Epoch 189 | Cost: 3.792747e-01 | Training Set Accuracy: 88.986667
Epoch 190 | Cost: 3.790757e-01 | Training Set Accuracy: 88.993333
Epoch 191 | Cost: 3.788827e-01 | Training Set Accuracy: 89.003333
Epoch 192 | Cost: 3.786958e-01 | Training Set Accuracy: 89.010000
Epoch 193 | Cost: 3.785150e-01 | Training Set Accuracy: 89.018333
Epoch 194 | Cost: 3.783401e-01 | Training Set Accuracy: 89.025000
Epoch 195 | Cost: 3.781712e-01 | Training Set Accuracy: 89.028333
Epoch 196 | Cost: 3.780082e-01 | Training Set Accuracy: 89.035000
Epoch 197 | Cost: 3.778519e-01 | Training Set Accuracy: 89.035000
Epoch 198 | Cost: 3.777018e-01 | Training Set Accuracy: 89.035000
Epoch 199 | Cost: 3.775576e-01 | Training Set Accuracy: 89.040000
Epoch 200 | Cost: 3.774185e-01 | Training Set Accuracy: 89.058333
Epoch 201 | Cost: 3.772844e-01 | Training Set Accuracy: 89.065000
Epoch 202 | Cost: 3.771548e-01 | Training Set Accuracy: 89.068333
Epoch 203 | Cost: 3.770296e-01 | Training Set Accuracy: 89.068333
Epoch 204 | Cost: 3.769087e-01 | Training Set Accuracy: 89.068333
Epoch 205 | Cost: 3.767921e-01 | Training Set Accuracy: 89.066667
Epoch 206 | Cost: 3.766800e-01 | Training Set Accuracy: 89.060000
Epoch 207 | Cost: 3.765727e-01 | Training Set Accuracy: 89.065000
Epoch 208 | Cost: 3.764702e-01 | Training Set Accuracy: 89.063333
Epoch 209 | Cost: 3.763729e-01 | Training Set Accuracy: 89.065000
Epoch 210 | Cost: 3.762808e-01 | Training Set Accuracy: 89.073333
Epoch 211 | Cost: 3.761941e-01 | Training Set Accuracy: 89.080000
Epoch 212 | Cost: 3.761128e-01 | Training Set Accuracy: 89.080000
Epoch 213 | Cost: 3.760369e-01 | Training Set Accuracy: 89.076667
Epoch 214 | Cost: 3.759663e-01 | Training Set Accuracy: 89.070000
Epoch 215 | Cost: 3.759009e-01 | Training Set Accuracy: 89.075000
Epoch 216 | Cost: 3.758406e-01 | Training Set Accuracy: 89.085000
Epoch 217 | Cost: 3.757851e-01 | Training Set Accuracy: 89.093333
Epoch 218 | Cost: 3.757344e-01 | Training Set Accuracy: 89.086667
Epoch 219 | Cost: 3.756885e-01 | Training Set Accuracy: 89.088333
Epoch 220 | Cost: 3.756471e-01 | Training Set Accuracy: 89.093333
Epoch 221 | Cost: 3.756103e-01 | Training Set Accuracy: 89.085000
Epoch 222 | Cost: 3.755780e-01 | Training Set Accuracy: 89.076667
Epoch 223 | Cost: 3.755502e-01 | Training Set Accuracy: 89.071667
Epoch 224 | Cost: 3.755269e-01 | Training Set Accuracy: 89.078333
Epoch 225 | Cost: 3.755081e-01 | Training Set Accuracy: 89.071667
Epoch 226 | Cost: 3.754938e-01 | Training Set Accuracy: 89.075000
Epoch 227 | Cost: 3.754841e-01 | Training Set Accuracy: 89.090000
Epoch 228 | Cost: 3.754788e-01 | Training Set Accuracy: 89.103333
Epoch 229 | Cost: 3.754781e-01 | Training Set Accuracy: 89.101667
Epoch 230 | Cost: 3.754820e-01 | Training Set Accuracy: 89.120000
New learning rate: 0.90000
New inference its: 150
New inference steps: 2.000000e-01
Epoch 231 | Cost: 3.738734e-01 | Training Set Accuracy: 89.136667
Epoch 232 | Cost: 3.720436e-01 | Training Set Accuracy: 89.208333
Epoch 233 | Cost: 3.707025e-01 | Training Set Accuracy: 89.248333
Epoch 234 | Cost: 3.696640e-01 | Training Set Accuracy: 89.286667
Epoch 235 | Cost: 3.685862e-01 | Training Set Accuracy: 89.310000
Epoch 236 | Cost: 3.674515e-01 | Training Set Accuracy: 89.351667
Epoch 237 | Cost: 3.664417e-01 | Training Set Accuracy: 89.388333
Epoch 238 | Cost: 3.656470e-01 | Training Set Accuracy: 89.405000
Epoch 239 | Cost: 3.649974e-01 | Training Set Accuracy: 89.416667
Epoch 240 | Cost: 3.643911e-01 | Training Set Accuracy: 89.450000
Epoch 241 | Cost: 3.638019e-01 | Training Set Accuracy: 89.456667
Epoch 242 | Cost: 3.632634e-01 | Training Set Accuracy: 89.470000
Epoch 243 | Cost: 3.627977e-01 | Training Set Accuracy: 89.505000
Epoch 244 | Cost: 3.623849e-01 | Training Set Accuracy: 89.508333
Epoch 245 | Cost: 3.619861e-01 | Training Set Accuracy: 89.528333
Epoch 246 | Cost: 3.615771e-01 | Training Set Accuracy: 89.520000
Epoch 247 | Cost: 3.611540e-01 | Training Set Accuracy: 89.523333
Epoch 248 | Cost: 3.607212e-01 | Training Set Accuracy: 89.528333
Epoch 249 | Cost: 3.602798e-01 | Training Set Accuracy: 89.541667
Epoch 250 | Cost: 3.598293e-01 | Training Set Accuracy: 89.548333
Epoch 251 | Cost: 3.593721e-01 | Training Set Accuracy: 89.548333
Epoch 252 | Cost: 3.589150e-01 | Training Set Accuracy: 89.563333
Epoch 253 | Cost: 3.584656e-01 | Training Set Accuracy: 89.573333
Epoch 254 | Cost: 3.580288e-01 | Training Set Accuracy: 89.590000
Epoch 255 | Cost: 3.576064e-01 | Training Set Accuracy: 89.598333
Epoch 256 | Cost: 3.571982e-01 | Training Set Accuracy: 89.615000
