       act_type: 'tanh'
         l_rate: 0.9000
          beta1: 0.7500
     numint_its: 100
         epochs: 1000
         d_rate: 0
       int_step: 0.1000
       lr_decay: 1
        buf_win: 10
     ADAPTIT_ri: 4
     ADAPTIT_rs: 2
      ADAPTIT_w: 1250
    layer_sizes: [400 50 50 10 10]
       n_layers: 5
            var: [1 1 1 1 1]
      timestamp: '0322_150311'
          log_f: 3

Epoch 104 | Cost: 6.833639e-01 | Training Set Accuracy: 85.308333
Epoch 105 | Cost: 6.829651e-01 | Training Set Accuracy: 85.333333
Epoch 106 | Cost: 6.825873e-01 | Training Set Accuracy: 85.328333
Epoch 107 | Cost: 6.822311e-01 | Training Set Accuracy: 85.340000
Epoch 108 | Cost: 6.818973e-01 | Training Set Accuracy: 85.360000
Epoch 109 | Cost: 6.815866e-01 | Training Set Accuracy: 85.375000
Epoch 110 | Cost: 6.813000e-01 | Training Set Accuracy: 85.390000
Epoch 111 | Cost: 6.810382e-01 | Training Set Accuracy: 85.393333
Epoch 112 | Cost: 6.808022e-01 | Training Set Accuracy: 85.401667
Epoch 113 | Cost: 6.805928e-01 | Training Set Accuracy: 85.401667
Epoch 114 | Cost: 6.804109e-01 | Training Set Accuracy: 85.423333
Epoch 115 | Cost: 6.802575e-01 | Training Set Accuracy: 85.438333
Epoch 116 | Cost: 6.801336e-01 | Training Set Accuracy: 85.448333
Epoch 117 | Cost: 6.800401e-01 | Training Set Accuracy: 85.436667
Epoch 118 | Cost: 6.799779e-01 | Training Set Accuracy: 85.433333
Epoch 119 | Cost: 6.799481e-01 | Training Set Accuracy: 85.436667
Epoch 120 | Cost: 6.799516e-01 | Training Set Accuracy: 85.448333
New learning rate: 0.90000
New inference its: 400
New inference steps: 5.000000e-02
Epoch 121 | Cost: 6.689172e-01 | Training Set Accuracy: 85.756667
Epoch 122 | Cost: 6.539775e-01 | Training Set Accuracy: 86.096667
Epoch 123 | Cost: 6.403715e-01 | Training Set Accuracy: 86.340000
Epoch 124 | Cost: 6.293651e-01 | Training Set Accuracy: 86.501667
Epoch 125 | Cost: 6.199307e-01 | Training Set Accuracy: 86.596667
Epoch 126 | Cost: 6.111155e-01 | Training Set Accuracy: 86.718333
Epoch 127 | Cost: 6.028493e-01 | Training Set Accuracy: 86.773333
Epoch 128 | Cost: 5.954002e-01 | Training Set Accuracy: 86.861667
Epoch 129 | Cost: 5.887772e-01 | Training Set Accuracy: 86.955000
Epoch 130 | Cost: 5.826725e-01 | Training Set Accuracy: 87.006667
Epoch 131 | Cost: 5.767067e-01 | Training Set Accuracy: 87.061667
Epoch 132 | Cost: 5.706352e-01 | Training Set Accuracy: 87.055000
Epoch 133 | Cost: 5.644037e-01 | Training Set Accuracy: 87.066667
Epoch 134 | Cost: 5.581016e-01 | Training Set Accuracy: 87.118333
Epoch 135 | Cost: 5.518872e-01 | Training Set Accuracy: 87.176667
Epoch 136 | Cost: 5.459244e-01 | Training Set Accuracy: 87.220000
Epoch 137 | Cost: 5.403404e-01 | Training Set Accuracy: 87.288333
Epoch 138 | Cost: 5.352054e-01 | Training Set Accuracy: 87.333333
Epoch 139 | Cost: 5.305318e-01 | Training Set Accuracy: 87.380000
Epoch 140 | Cost: 5.262896e-01 | Training Set Accuracy: 87.420000
Epoch 141 | Cost: 5.224272e-01 | Training Set Accuracy: 87.453333
Epoch 142 | Cost: 5.188895e-01 | Training Set Accuracy: 87.485000
Epoch 143 | Cost: 5.156272e-01 | Training Set Accuracy: 87.495000
Epoch 144 | Cost: 5.126008e-01 | Training Set Accuracy: 87.493333
Epoch 145 | Cost: 5.097808e-01 | Training Set Accuracy: 87.498333
Epoch 146 | Cost: 5.071485e-01 | Training Set Accuracy: 87.526667
Epoch 147 | Cost: 5.046947e-01 | Training Set Accuracy: 87.533333
Epoch 148 | Cost: 5.024183e-01 | Training Set Accuracy: 87.550000
Epoch 149 | Cost: 5.003226e-01 | Training Set Accuracy: 87.555000
Epoch 150 | Cost: 4.984123e-01 | Training Set Accuracy: 87.573333
Epoch 151 | Cost: 4.966905e-01 | Training Set Accuracy: 87.578333
Epoch 152 | Cost: 4.951583e-01 | Training Set Accuracy: 87.578333
Epoch 153 | Cost: 4.938136e-01 | Training Set Accuracy: 87.573333
Epoch 154 | Cost: 4.926520e-01 | Training Set Accuracy: 87.551667
Epoch 155 | Cost: 4.916667e-01 | Training Set Accuracy: 87.570000
Epoch 156 | Cost: 4.908484e-01 | Training Set Accuracy: 87.575000
Epoch 157 | Cost: 4.901856e-01 | Training Set Accuracy: 87.560000
Epoch 158 | Cost: 4.896648e-01 | Training Set Accuracy: 87.563333
Epoch 159 | Cost: 4.892712e-01 | Training Set Accuracy: 87.565000
Epoch 160 | Cost: 4.889891e-01 | Training Set Accuracy: 87.560000
Epoch 161 | Cost: 4.888033e-01 | Training Set Accuracy: 87.555000
Epoch 162 | Cost: 4.886997e-01 | Training Set Accuracy: 87.531667
Epoch 163 | Cost: 4.886658e-01 | Training Set Accuracy: 87.528333
Epoch 164 | Cost: 4.886914e-01 | Training Set Accuracy: 87.543333
New learning rate: 0.90000
New inference its: 1600
New inference steps: 2.500000e-02
Epoch 165 | Cost: 4.813411e-01 | Training Set Accuracy: 87.768333
Epoch 166 | Cost: 4.721521e-01 | Training Set Accuracy: 88.023333
Epoch 167 | Cost: 4.654712e-01 | Training Set Accuracy: 88.210000
Epoch 168 | Cost: 4.623039e-01 | Training Set Accuracy: 88.236667
Epoch 169 | Cost: 4.612077e-01 | Training Set Accuracy: 88.208333
Epoch 170 | Cost: 4.604035e-01 | Training Set Accuracy: 88.243333
Epoch 171 | Cost: 4.591466e-01 | Training Set Accuracy: 88.326667
Epoch 172 | Cost: 4.576468e-01 | Training Set Accuracy: 88.436667
Epoch 173 | Cost: 4.562958e-01 | Training Set Accuracy: 88.550000
Epoch 174 | Cost: 4.551954e-01 | Training Set Accuracy: 88.631667
Epoch 175 | Cost: 4.542038e-01 | Training Set Accuracy: 88.671667
Epoch 176 | Cost: 4.531571e-01 | Training Set Accuracy: 88.676667
Epoch 177 | Cost: 4.519856e-01 | Training Set Accuracy: 88.686667
Epoch 178 | Cost: 4.506997e-01 | Training Set Accuracy: 88.730000
Epoch 179 | Cost: 4.493357e-01 | Training Set Accuracy: 88.738333
Epoch 180 | Cost: 4.479261e-01 | Training Set Accuracy: 88.768333
Epoch 181 | Cost: 4.464988e-01 | Training Set Accuracy: 88.821667
Epoch 182 | Cost: 4.450812e-01 | Training Set Accuracy: 88.851667
Epoch 183 | Cost: 4.436960e-01 | Training Set Accuracy: 88.891667
Epoch 184 | Cost: 4.423532e-01 | Training Set Accuracy: 88.926667
Epoch 185 | Cost: 4.410478e-01 | Training Set Accuracy: 88.965000
Epoch 186 | Cost: 4.397642e-01 | Training Set Accuracy: 88.976667
Epoch 187 | Cost: 4.384844e-01 | Training Set Accuracy: 89.011667
Epoch 188 | Cost: 4.371915e-01 | Training Set Accuracy: 89.023333
Epoch 189 | Cost: 4.358722e-01 | Training Set Accuracy: 89.056667
Epoch 190 | Cost: 4.345164e-01 | Training Set Accuracy: 89.073333
Epoch 191 | Cost: 4.331196e-01 | Training Set Accuracy: 89.105000
Epoch 192 | Cost: 4.316843e-01 | Training Set Accuracy: 89.123333
Epoch 193 | Cost: 4.302197e-01 | Training Set Accuracy: 89.128333
Epoch 194 | Cost: 4.287393e-01 | Training Set Accuracy: 89.140000
Epoch 195 | Cost: 4.272572e-01 | Training Set Accuracy: 89.166667
Epoch 196 | Cost: 4.257850e-01 | Training Set Accuracy: 89.203333
Epoch 197 | Cost: 4.243301e-01 | Training Set Accuracy: 89.226667
Epoch 198 | Cost: 4.228956e-01 | Training Set Accuracy: 89.248333
Epoch 199 | Cost: 4.214818e-01 | Training Set Accuracy: 89.261667
Epoch 200 | Cost: 4.200867e-01 | Training Set Accuracy: 89.276667
Epoch 201 | Cost: 4.187075e-01 | Training Set Accuracy: 89.298333
Epoch 202 | Cost: 4.173414e-01 | Training Set Accuracy: 89.310000
Epoch 203 | Cost: 4.159862e-01 | Training Set Accuracy: 89.328333
Epoch 204 | Cost: 4.146411e-01 | Training Set Accuracy: 89.350000
Epoch 205 | Cost: 4.133062e-01 | Training Set Accuracy: 89.366667
Epoch 206 | Cost: 4.119825e-01 | Training Set Accuracy: 89.383333
Epoch 207 | Cost: 4.106717e-01 | Training Set Accuracy: 89.393333
Epoch 208 | Cost: 4.093752e-01 | Training Set Accuracy: 89.416667
Epoch 209 | Cost: 4.080942e-01 | Training Set Accuracy: 89.433333
Epoch 210 | Cost: 4.068293e-01 | Training Set Accuracy: 89.450000
Epoch 211 | Cost: 4.055807e-01 | Training Set Accuracy: 89.460000
Epoch 212 | Cost: 4.043481e-01 | Training Set Accuracy: 89.480000
Epoch 213 | Cost: 4.031308e-01 | Training Set Accuracy: 89.506667
Epoch 214 | Cost: 4.019281e-01 | Training Set Accuracy: 89.520000
Epoch 215 | Cost: 4.007393e-01 | Training Set Accuracy: 89.533333
Epoch 216 | Cost: 3.995636e-01 | Training Set Accuracy: 89.548333
Epoch 217 | Cost: 3.984006e-01 | Training Set Accuracy: 89.558333
Epoch 218 | Cost: 3.972501e-01 | Training Set Accuracy: 89.585000
Epoch 219 | Cost: 3.961117e-01 | Training Set Accuracy: 89.603333
Epoch 220 | Cost: 3.949853e-01 | Training Set Accuracy: 89.625000
Epoch 221 | Cost: 3.938709e-01 | Training Set Accuracy: 89.641667
Epoch 222 | Cost: 3.927685e-01 | Training Set Accuracy: 89.670000
Epoch 223 | Cost: 3.916778e-01 | Training Set Accuracy: 89.678333
Epoch 224 | Cost: 3.905988e-01 | Training Set Accuracy: 89.688333
Epoch 225 | Cost: 3.895313e-01 | Training Set Accuracy: 89.705000
Epoch 226 | Cost: 3.884751e-01 | Training Set Accuracy: 89.728333
Epoch 227 | Cost: 3.874299e-01 | Training Set Accuracy: 89.751667
Epoch 228 | Cost: 3.863955e-01 | Training Set Accuracy: 89.766667
Epoch 229 | Cost: 3.853717e-01 | Training Set Accuracy: 89.786667
Epoch 230 | Cost: 3.843583e-01 | Training Set Accuracy: 89.810000
Epoch 231 | Cost: 3.833551e-01 | Training Set Accuracy: 89.825000
Epoch 232 | Cost: 3.823618e-01 | Training Set Accuracy: 89.853333
Epoch 233 | Cost: 3.813784e-01 | Training Set Accuracy: 89.868333
Epoch 234 | Cost: 3.804047e-01 | Training Set Accuracy: 89.885000
Epoch 235 | Cost: 3.794406e-01 | Training Set Accuracy: 89.893333
Epoch 236 | Cost: 3.784858e-01 | Training Set Accuracy: 89.918333
Epoch 237 | Cost: 3.775405e-01 | Training Set Accuracy: 89.920000
Epoch 238 | Cost: 3.766044e-01 | Training Set Accuracy: 89.925000
Epoch 239 | Cost: 3.756775e-01 | Training Set Accuracy: 89.936667
Epoch 240 | Cost: 3.747598e-01 | Training Set Accuracy: 89.956667
Epoch 241 | Cost: 3.738511e-01 | Training Set Accuracy: 89.966667
Epoch 242 | Cost: 3.729514e-01 | Training Set Accuracy: 89.973333
Epoch 243 | Cost: 3.720607e-01 | Training Set Accuracy: 89.988333
